sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-11-23,CV,0,0,0,0,0,0,0,121274.82,0,0,121274.82,0,0,121274.82,0,0,121274.82,0,0,121274.82
0,0,,2020-11-23,CV,0,0,0,0,0,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49
1,0,,2020-11-30,CV,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,0,,2020-11-30,CV,0,0,0,0,0,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49
1,0,,2020-12-07,CV,1,1,1,1,1,33788.16,855.44,188255.57,33788.16,855.44,188255.57,33788.16,855.44,188255.57,33788.16,855.44,188255.57,33788.16,855.44,188255.57
0,0,,2020-12-07,CV,0,0,0,0,0,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49
1,0,,2020-12-14,CV,0,0,0,0,0,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31
0,0,,2020-12-14,CV,0,0,0,0,0,0,0,106175.19,0,0,106175.19,0,0,106175.19,0,0,106175.19,0,0,106175.19
1,0,,2020-12-21,CV,0,0,0,0,0,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31
0,0,,2020-12-21,CV,0,0,0,0,0,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8
1,0,,2020-12-28,CV,0,0,0,0,0,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31,0,0,124987.31
0,0,,2020-12-28,CV,0,0,0,0,0,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8
1,0,,2021-01-04,CV,0,0,0,0,0,0,0,126157.6,0,0,126157.6,0,0,126157.6,0,0,126157.6,0,0,126157.6
0,0,,2021-01-04,CV,0,0,0,0,0,0,0,106764.12,0,0,106764.12,0,0,106764.12,0,0,106764.12,0,0,106764.12
1,1,Pfizer,2021-01-04,CV,0,0,0,0,0,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21
0,1,Pfizer,2021-01-04,CV,0,0,0,0,0,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41
1,0,,2021-01-11,CV,0,0,0,0,0,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31,0,0,128320.31
0,0,,2021-01-11,CV,2,1,0,0,0,58393.29,7071.7,210936.62,29057.28,735.67,161896.8,0,0,106933.59,0,0,106933.59,0,0,106933.59
1,1,Pfizer,2021-01-11,CV,0,0,0,0,0,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5
0,1,Pfizer,2021-01-11,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
